geoid,name,impervious_ratio,canopy_cover,drainage_capacity,population_density
48453034400,Census Tract 344,0.3794,0.2944,0.0931,1100.1
48453000205,Census Tract 2.05,0.6119,0.02,0.08,3008.3
48453000305,Census Tract 3.05,0.4285,0.02,0.0857,2386.0
48453000601,Census Tract 6.01,0.6747,0.02,0.08,9075.9
48453001912,Census Tract 19.12,0.1696,0.4065,0.2472,320.7
48453002424,Census Tract 24.24,0.2733,0.1413,0.1209,1283.2
48453000902,Census Tract 9.02,0.6321,0.02,0.08,1978.0
48453001200,Census Tract 12,0.5444,0.02,0.1337,2909.6
48453001308,Census Tract 13.08,0.5552,0.02,0.08,2501.5
48453001501,Census Tract 15.01,0.4497,0.02,0.0848,1670.0
48453001603,Census Tract 16.03,0.3825,0.0205,0.1006,1715.1
48453001503,Census Tract 15.03,0.6727,0.02,0.08,1500.4
48453001917,Census Tract 19.17,0.1966,0.4695,0.1424,548.4
48453002107,Census Tract 21.07,0.3005,0.0676,0.1275,1597.5
48453002109,Census Tract 21.09,0.3907,0.1025,0.0981,1473.5
48453002403,Census Tract 24.03,0.6349,0.0219,0.08,913.0
48453002411,Census Tract 24.11,0.6461,0.02,0.08,1460.7
48453002412,Census Tract 24.12,0.3664,0.02,0.1436,3722.2
48453001915,Census Tract 19.15,0.3447,0.2868,0.1084,510.2
48453001914,Census Tract 19.14,0.1325,0.6588,0.1421,433.3
48453002434,Census Tract 24.34,0.05,0.0427,0.1494,35.8
48453002432,Census Tract 24.32,0.0899,0.0311,0.1592,115.9
48453002430,Census Tract 24.30,0.2573,0.1031,0.2448,878.5
48453001911,Census Tract 19.11,0.2748,0.3395,0.1708,921.8
48453002003,Census Tract 20.03,0.4725,0.0819,0.08,1748.8
48453036200,Census Tract 362,0.1979,0.4185,0.1283,264.6
48453034100,Census Tract 341,0.3324,0.282,0.1095,1780.3
48453002222,Census Tract 22.22,0.2843,0.0844,0.1074,1203.0
48453044000,Census Tract 440,0.564,0.0242,0.08,2288.8
48453002215,Census Tract 22.15,0.1101,0.2727,0.1827,314.6
48453041200,Census Tract 412,0.3862,0.1755,0.142,965.1
48453045800,Census Tract 458,0.05,0.02,0.1494,42.6
48453044800,Census Tract 448,0.1962,0.0379,0.1713,424.8
48453000700,Census Tract 7,0.727,0.02,0.08,817.9
48453043000,Census Tract 430,0.3385,0.0548,0.1014,666.9
